text, domain, over_all_sentiment
พนักงานบริการดี ห้องพักสะอาด บรรยากาศดีมากมาก เหมาะกับการมาพักผ่อน, Hotel, pos
บริการดีมากค่ะ ห้องสะอาด ต้องมีไปอีกแน่นอนค่ะ, Hotel, pos
พนักงานดูแลดีมากครับ มีเพิ่มขนาดห้องให้ด้วย บริการประทับใจ, Hotel, pos
ชอบที่นี่มากๆ เงียบสงบ เตียงนุ่มสบาย อากาศดี คุ้มที่สุด, Hotel, pos
ดีสมราคา เตียงหมอนนุ่มนอนสบายที่สุด สระว่ายน้ำสวย อาหารเช้าใช้ได้, Hotel, pos
ที่พักสวยมาก ห้องพักสะอาด บรรยากาศดี โดยรวมถือว่าดีมากค่ะ ประทับใจ มีโอกาสจะกลับไปพักอีก, Hotel, pos
ชอบมากค่ะ โรแมนติค, Hotel, pos
ห้องสวย สะอาดมาก สระว่ายน้ำวิวดี ห้องพักเงียบสงบ อาหารอร่อยค่ะ, Hotel, pos
ห้องสวยมาก บรรยากาศดีมากๆ ที่ถ่ายรูปเยอะ สวย บริการดี, Hotel, pos
บรรยากาศดี ห้องสะอาด พนักงานดูแลเต็มที่, Hotel, pos
ห้องพัก สะอาด พนักงาน น่ารัก อัธยาศัยดี ที่พักมีสัตว์ให้เล่นได้ ใช้วันหยุดอยู่กับที่พักไมาได้ออกไปไหนเลย เหมาะกับการไปพักผ่อน ไว้มีโอกาสจะกลับไปอีกค่ะ, Hotel, pos
ห้องใหญ่ สะอาด บรรยากาศดีครับ, Hotel, pos
บรรยากาศดี, Hotel, pos
พนักงานน่ารักมากๆเลยคะ ที่พักบรรยากาศดี วิวสวยมากคะ นอนแบบไม่เปิดแอร์เลยเปิดแต่พัดลมในห้องบรรยากาศดีมากชอบๆคะ ไว้มีโอกาสจะไปพักอีกนะคะ, Hotel, pos
โรงแรมดีมาก มีที่เที่ยวในโรงแรม มีสัตว์ให้ดูด้วย มีที่ให้เด็กเล่น อากาศดี บรรยากาศดี พนง เอาใจใส่, Hotel, pos
อาหารเช้าอร่อย มีให้เลือกหลากหลายมาก ห้องพักสะอาด บรรยากาศดี มีโอกาสจะกลับไปพักอีกแน่ๆๆค่ะ, Hotel, pos
สะอาด สวย ใหญ่ ห้องกว้าง อากาศดีมากๆค่ะแนะนำ, Hotel, pos
ต้องมาพักสักครั้งค่ะ, Hotel, pos
บรรยากาศดี อากาศดีมาก ห้องอาหาร ยุงเยอะไปหน่อย, Hotel, pos
อาหารเช้าหลากหลาย ทำเลดี ไปที่เที่ยวต่างๆง่าย, Hotel, pos
ที่พักดีมาก บรรยากาศดี อากาศก็ดี พนักงานน่ารักทุกคน ห้องพักสะอาดนอนสบาย อาหารเช้าดี สระว่ายน้ำสวย มีอัลปาก้า มีกระต่ายด้วย, Hotel, pos
ครั้งนี้พักเป็นครั้งที่ 2 แล้วค่ะ ยังชอบบรรยากาศและการบริการของที่โรงแรมเหมือนเดิม ค่ะ, Hotel, pos
ประทับใจมากค่ะ วิวสวยบรรยากาศดีมากๆค่ะ, Hotel, pos
สิ่งอำนวยความสะดวก และมื้อเช้า ได้มาตราฐาน, Hotel, pos
ดีย์คุ้มค่า พนักงานน่ารัก, Hotel, pos
ที่พักดีงาม เหมาะกับการพักผ่อน อาหารเช้าอร่อยแลเมีให้เลือกดีมาก กลับมาอีกแน่นอน, Hotel, pos
ห้องพักสวยมาก สิ่งอำนวยความสะดวกพร้อม ห้องดี สะอาด กว้าง ตกแต่งสวยงาม, Hotel, pos
ที่พักสบาย บริการดีมาก, Hotel, pos
การต้องการการพักผ่อนของครอบครัว ลองมาที่นี่ดูครับ, Hotel, pos
โรงแรมดี พนักงานบริการดี สถานที่สวยมุมถ่ายรูปเยอะ มีอัลปาก้า กระต่าย ไก่ขนฟู ให้เด็กดู, Hotel, pos
ดีมากก, Hotel, pos
พนักงานบริการดีมาก ให้การต้อนรับอย่างดี รายละเอียดเล็กๆน้อยๆ เขาจำได้หมดเลย, Hotel, pos
เหมาะสำหรับการพักผ่อนแนะนำเลยครับ, Hotel, pos
มาแล้วไม่ผิดหวังตรงปกค่ะ, Hotel, pos
การบริกของพนักงานดีมากครับ จะไปอีกแน่นอนครับ, Hotel, pos
โดยรวมถือว่าดีครับ พนักงานให้ข้อมูลดี, Hotel, pos
ที่พักดีสะอาด พนักงานบริการดีมากค่ะ อาหารอร่อยด้วย, Hotel, pos
ห้องพักสะอาด คุ้มค่ากับราคา วิวที่ได้ดีมาก แม้จะไม่ได้ติดทะเลแต่เดินทางสะดวก ส่วนกลางดีมาก มีที่ให้เล่นน้ำ เล่นบอร์ดเกม ปิงปอง ฟุตบอลโต๊ะ แต่สระน้ำปิดเร็วไปนิด น่าจะว่ายได้24ชม. เพราะเดินทางจากกทม.มาถึงบางแสนก็ทุ่มนึงแล้ว มีเวลาเล่นแค่2ชม.เอง, Hotel, pos
ห้องพักสะอาด นอนหลับสบาย เงียบ ไม่มีเสียงรบกวน สิ่งอำนวยความสะดวกในห้องครบถ้วน พนักงานบริการดี ที่จอดรถกว้าง โรงแรมอยู่ซอยถัดจากริมหาด สามารถเดินได้ แต่เข้าพักตอนช่วงหยุดยาว เวลาเชคอินบ่ายสอง คิวยาวมาก จุดรอเชคอินไม่มีแอร์ ค่อนข้างร้อน แต่โดยรวมประทับใจค่ะ, Hotel, pos
ห้องพักสะอาด สิ่งอำนวยความสะดวกครบ อยู่ใกล้หาดวอนนภา ที่จอดรถมีไม่มากจอดฟรีสำหรับลูกค้า อาหารเช้าค่อนข้างผิดหวัง มีแต่ข้าวต้มกับกาแฟโอวัลติน ถ้าต้องการการไข่ดาว คุณต้องจ่ายเพิ่ม ซึ่งข้าวต้มก็ไม่สามารถเติมได้ ทานได้ครั้งเดียวมีปริมาณน้อย กับ กุ้ง3 ตัว ส่วนโอวัลตินกาแฟ ขนมปัง เติมได้ เป็นอาหารเช้าที่น่าเบื่อ, Hotel, pos
ห้องพักรีโนเวทใหม่ สะอาด มีสระว่ายน้ำ และฟิตเนสที่ดีมาก ที่จอดรถเพียบ อยู่ย่านของกินอร่อยๆ พนักงานบริการดี ชอบๆๆไว้มีโอกาสจะมาพักอีก, Hotel, pos
ห้องสะอาด อุปกรณ์อำนวยความสะดวกครบๆ พนักงานทุกจุดคือดูแลดี พูดจาสุภาพ เราลืมสายชาร์จไว้ในห้อง ทางโรงแรมก็ส่งไปรษณีย์มาคืนให้ ขอบคุณมากๆเลยค่ะ, Hotel, pos
ห้องพักสะอาด ที่จอดรถเยอะ ข้าวต้มอร่อยมาก เสียอย่างเดียวห้องไม่เก็บเสียงเลย เสียงคุยกันข้างนอก คนจ้างในยังได้ยินคือดังมากนเสียงปิดประตูดังทั้งคืน โดนรวมคือดี, Hotel, pos
จองช่วงเข้ารับปริญญา ใกล้มอเดินทางสะดวก ห้องสะอาด พนักงานบริการดี พูดจาดี วิวที่พักฟิวคอนโดทั่วไป แนะนำค่าาา, Hotel, pos
โรมแรมสะอาดมาก มีแม่บ้านมาทำความสะอาด เติมขวดน้ำ เปลี่ยนผ้าเช็ดตัวให้ตลอดที่เข้าพัก อยู่ติดถนนใกล้หาด แต่เงียบสงบไม่ได้ยินเสียงรถ เตียงนอนสบาย ห้องน้ำสะอาดแต่น้ำไหลไม่ค่อยแรงอาจเป็นเพราะเราอยู่ชั้นสูงๆ วิวดีมองเห็นทะเล เราพักห้องเทอเรส มีระเบียง นั่งชิวๆรับลมได้, Hotel, pos
ส่วนตัวชอบทำเลที่พักมากค่ะ จะเดินไปซอยข้างหน้าหรือข้างหลังก็มีร้านอาหารเยอะแยะไปหมด ห้องพักดูดี ของครับครัน โดยเฉพาะโซนครัวมีทุกอย่างเลย แต่ห้องน้ำแอบน้ำขังไปนิดนึง โดยรวมประทับใจมาก, Hotel, pos
สถานที่: ใกล้กับสิ่งอำนวยค.สะดวก หรือถานที่เที่ยวมากมายแถวบางแสน แต่ไกลจากหาด เดินทาง: แนะนำว่าควรมีรถส่วนตัวอย่างเดียว ที่พักอยู่ในซอยลึกพอสมควร อาหารเช้า: ตรงปกมาก ไม่มีอะไรเท่าไหร่ ไม่ใช่บุฟเฟ่ต์ ความสะอาด: สะอาด พอสมควร ผ้าห่ม หรืผ้าปูเตียงคือสะอาดไม่ได้ปูไว้นาน เลยรู้สึกไม่คันเพราะไรฝุ่น โดยรวมโอเค ไม่แย่ ในห้องเหมือนอยู่คอนโด คนที่3 เสริมฟูกหน้าทีวีนอกห้องนอน, Hotel, pos
ห้องพักสะอาดมาก สิ่งอำนวยความสะดวกครบครัน บรรยากาศดี ไม่ไกลจากชายหาด ข้าวต้มกุ้งมื้อเช้าอร่อย พนักงานบริการดีมาก สระว่ายน้ำสะอาด วิวดีมาก, Hotel, pos
ห้องพักสะอาด นอนหลับสบาย เงียบ ไม่มีเสียงรบกวน พนักงานบริการดี สิ่งอำนวยความ, Hotel, pos
ประทับใจมากค่ะ บริการดี..ไว้โอกาสหน้าจะมาใช้บริการอีกค่ะ, Hotel, pos
ห้องสะอาด เตียงนอนสบาย ราคาสมเหตุสมผล, Hotel, pos
ชอบครับ ห้องสะอาด สบาย ข้างล่าง 7-11 ใช่เลย, Hotel, pos
ห้องสะอาด พนักงานบริการดีเยี่ยม, Hotel, pos
โดยรวมดีค่ะ ยกเว้นที่นอน แข็งมากๆนอนแล้วปวดหลัง, Hotel, pos
ห้องสวย สะดวก สะอาด สงบ สะดวกสบาย อาหารอร่อย, Hotel, pos
ดีค่ะ ส่วนตัว สะอาด ห้องกว้าง, Hotel, pos
ห้องพักสะอาด แอร์เย็น ทุกอย่างดีมาก, Hotel, pos
ห้องกว้าง ราคาไม่แพง แต่ที่จอดรถรงน้อยไปนิดนึ่ง ต้องเข้าซอย, Hotel, pos
ที่พักสะอาด บริการดี ทำความสะอาดห้องให้ทุกวันที่ไปเข้าพักดีมาก, Hotel, pos
หมอนน้อยค่ะ ไม่แน่นด้วย นิ่มๆ อย่างอื่นโอเคค่ะ, Hotel, pos
ดีมาก สะดวก สะอาด สบาย สงบ คุณภาพเกินราคา, Hotel, pos
ก็ดีห้องก็ใช้ได้ เตียงนิ่มสบายใช้ได้ราคาไม่แพง, Hotel, pos
พักประจำ โรงแรมนี้ดีมากๆ สุดยอด, Hotel, pos
ห้องใหญ่ สะอาด เตียงค่อนข้างเฟิร์ม แอร์เย็นดีครับ, Hotel, pos
รร.ดีสะอาด แต่ห้องไม่เก็บเสียงได้ยิน เสียงจากข้างห้อง เสียงเดินจากข้างบน ทำให้นอนไม่หลับ, Hotel, pos
ดี แต่พนักงานทำความสะอาดเสียงดังมาก, Hotel, pos
ห้องพักดี ราคาถูก พนักงานบริการด้วยใจ พร้อมให้ความช่วยเหลือ, Hotel, pos
ราคาไม่แพง สมเหตุสมผล สะดวกสบายมากคะ, Hotel, pos
สบุ่ ยาสระผม ให้น้อยมากๆ ควรปรับปรุง, Hotel, pos
ที่พักดีค่ะ สบายเกินราคา โรงแรมดูใหม่สะอาดตา สิ่งอำนวยความสะดวกครบครัน มีตู้เซฟด้วย คือดีมากค่ะ, Hotel, pos
ห้องพักสะอาดระดับนึง เฟอนิเจอร์ครบครันเหมาะพักผ่อนระยะสั้น, Hotel, pos
มีไดร์เป่าผม ห้องกว้างกว่าที่อื่นในระแวกใกล้เคียง, Hotel, pos
ห้องใหม่ สะอาด มีที่จอดรถ ราคาไม่แพง​ 500กว่าบาทถือว่าพักได้ครับ, Hotel, pos
บริการดีมากค่ะ ห้องพักสะอาด อุปกรณ์อำนวยความสะดวกครบ, Hotel, pos
ที่พักดีค่ะ แต่ข้างห้องเสียงดังทั้งคืนเลย น่าจะเป็นชาวต่างชาติอ่ะ ห้องน่าจะเก็บเสียงได้ดีกว่านี้นิดนึง, Hotel, pos
ดีทุกอย่าง ติอยู่อย่างเดียวค่ะพนักงานทำความสะอาดแอบเสียงดังไปนิดหนึ่งคะ, Hotel, pos
ห้องดีคุ้มราคา ของใช้ในห้องสะดวก ห้องสะอาด, Hotel, pos
ดีมากเลยค่ะ พนักงานพูดจาดี ห้องพักสะอาด อาหารอร่อย, Hotel, pos
พัก3คืนดีมากเลยคะห้องสะอาด​ การเปลี่ยนผ้าเช็ดตัวเข้ามาทำความสะอาดทุกวัน, Hotel, pos
ห้องสบาย สะอาด พนักงานต้อนรับดี, Hotel, pos
ห้องสะอาด เหมาะสมมากคุ่รัก พนักงานอัธยาศัยดี, Hotel, pos
เตียงชั้น 8 เล็กไปหน่อยครับ เตียงไม่เท่ากันหราครับ, Hotel, pos
สะอาด น่าอยู่พนักงานบริการดี มองดูที่พักอื่นๆก็ไม่พ้นต้องกลับมาที่นี่เหมือนเดิม พักนาน9วัน, Hotel, pos
ราคาไม่แรง ห้องพักสบาย มีสิ่งอำนวยความสะดวก มีเซเว่นใต้ตึก ทุกอย่างโอเค, Hotel, pos
ห้องดี อาหารอร่อย แต่ได้ยินเสียงเหมือนคนเดิน ทำความสะอาดทั้งคืนเลยค่ะ, Hotel, pos
ราคาไม่แพง มีอาหารเช้า มีที่จอดรถสะดวก แต่ได้ยินเสียงด้านนอก เสียงค่อนข้างรบกวน แต่โดยรวมดี, Hotel, pos
สิ่งอำนวยความสะดวกครบครัน ผ้าปูที่นอนผ้าห่มสะอาดมีกลิ่นหอม แต่อ้างล่างหน้าน้ำไหลเบาไปนิดนึงค่ะ, Hotel, pos
จะไปบอกต่อครับ เพราะ ต้อนรับดี ที่พักดี สงบมาก, Hotel, pos
หมอนแฟบ นอนแล้วปวดคอมาก ห้องอับ แอร์มีแต่ฝุ่น แต่ก็พออยู่ได้ สมราคา, Hotel, pos
ที่พักดี สะอาด ราคาไม่แพงมี ที่จอดรถติดเซเว่นสะดวก, Hotel, pos
ห้องพักสะอาด ใหม่ เหมาะสมตามราคา, Hotel, pos
บริการดี ใกล้7-11 มีที่จอดรถ ที่นอนนอนสบายมาก อยากซื้อมาไว้ที่บ้าน, Hotel, pos
ห้องพักสะดวก สบาย สะอาด ราคาไม่แพง เดินทางสะดวกแนะนำเลยคะ, Hotel, pos
ห้องพักสะอาด นอนสบาย มีที่จอดรถเยอะดีค่ะ, Hotel, pos
สะอาด คุ้มค่าราคา พนักงานพูดจาไพเราะบริการดี, Hotel, pos
ห้องพักดี นอนสบายมาก ชอบมากค่ะ มาพักรอบที่สองแล้ว และจะมาพักอีกนะคะ, Hotel, pos
ห้องสะอาดมาก พนักงานน่ารัก พูดเพราะ คุ้มเกินราคา, Hotel, pos
ห้องพัก = ดีมาก เหมาะสมกับราคา ใหม่ สะอาด ที่นอนสบาย บริการ = การบริการดีมาก เหมาะสม การเดินทาง = ต้องใช้บริการ Grab แต่ก็สะดวก ไม่ไกล แอร์พอร์ตลิงค์, Hotel, pos
พนักงานยิ้มแย้มให้บริการดี ห้องพักสะอาด​ ที่จอดรถค่อนข้างเยอะ​ มีเสียงรบกวนบ้างจากด้านบน​ คนเดิน เปิดลิฟท์
ราคาดีครับ อาหารอร่อย ห้องสูด ราคาไม่แพง ดีทุกอย่างนอนสบาย, Hotel, pos
ดีหมด ทั้งห้องทั้งทำเล ทั้งสตาฟ ติดอย่างเดียวคือเวลารับประทานอาฟารเช้าพนักงานชอบมายืนดูว่าเราตักอะไรบ้าง คือยืนดูแบบใกล้ๆ จนน่าเกลียด, Hotel, pos
ห้องดีมาก แต่แคบไปนิด, Hotel, pos
ที่พักดี ราคาคุ้มค่า อาหารอร่อย แต่เตียงแข็งไปหน่อย, Hotel, pos
ห้องพักดีมากค่ะ ดูสะอาด กว่าโรงแรมใกล้เคียง ในราคาที่ถูกกว่า, Hotel, pos
เหมาะสมกับราคาค่ะ พนักงานต้อนรับคุยดีมากค่ะ คอยช่วยตลอด, Hotel, pos
พนง. ต้อนรับ พนง.ทำความสะอาดบริการดีมาก ห้องพักกว้างสะอาด แต่อาหารซ้ำๆเดิมๆมีไก่ผัดทุกวัน, Hotel, pos
ชอบ ใกล้เซเว่นด้วยเดินไปได้เลย, Hotel, pos
จองได้ในราคา327บาท คุณภาพระดับ1000+ เอาไป9คะแนน ติดที่เข้าซอยลึกไปหน่อย อย่างอื่นดีหมดครับ, Hotel, pos
ห้องพักค่อนข้างกว้างสะอาดสะดวกสบาย เตียงนอนนอนสบายมากไม่ปวดหลัง ห้องน้ำน้ำแรง, Hotel, pos
ที่พักสะอาดดี พนักงานบริการดี ยิ้มแย้ม ฟ้องก็เย็นสบาย คียกาดหมดเวลายัง นอนได้สบาย, Hotel, pos
ห้องพักสะอาดกว้างใหม่สบายมาก 7-11เดิน1นาทีถึงเพราะอยู่ด้านใต้ของโรงแรม, Hotel, pos
สะอาด ราคาไม่แพง ใกล้รถไฟฟ้าสายสีเหลือง เดินทางสะดวกจะเข้าเมืองหรือไปสนามบินง่ายมาก ร้านอาหารเยอะ, Hotel, pos
ถ้ามีโอกาสไปแถวนั้นจะไปใช้บริการอีก สะดวกสบาย พนักงานบริการดี ที่นอนหลับสบายมาก, Hotel, pos
ห้องกว้างมาก สบายมากๆ การบริการทุกอย่างดี อาหารเช้าดี, Hotel, pos
ห้องสวยแอร์เย็นช่ำ เสียอย่างเดียวต้องมานั่งลุ้นที่จอดรถ ถ้าได้จอดจะออกได้ไหมหรือจะได้จอดไหมถ้าออกไปไหน นอกนั้นดีมาก, Hotel, pos
ห้องพักดีเหมาะกับราคา ทีวี แอร์ น้ำอุ่น รุ่นใหม่ทันสมัย เลยไม่มีปัญหาอะไร อาหารเช้ารสชาติใช้ได้ โดยรวมแล้วดีคะ, Hotel, pos
ห้องกว้าง สะดวกสบาย เหมาะกับการมาพักแบบครอบครัว, Hotel, pos
สะดวก ประหยัด ใหม่ ใกล้แอร์พอร์ตเรลลิงค์, Hotel, pos
ประหยัด ใหม่ สะอาด อาหารเช้าใช้ได้ ไม่ไกลจาก Airport Link และห้างฯ, Hotel, pos
ใหม่ ทันสมัย ประหยัด ใกล้ห้างฯ, Hotel, pos
ห้องพักสะอาด พนักงานบริการดีค่ะ, Hotel, pos
บริการดี เยี่ยมคะ พนักงานต้อนรับดี มีการเปลี่ยน อุปกรณ์ ในห้องน้ำทุกวัน และเปลี่ยน ผ้าเช็ดตัว แก้วน้ำ ทำความสะอาด ดีเยี่ยมคะ แต่เครื่องทำน้ำอุ่น ไฟฟ้ารั่ว ห้อง 905 ปรับปรุ่งหน่อย โดยรวมดี คะ แนะนำ, Hotel, pos
สะอาดมากค่ะ ใกล้นิด้ามากมาย ไว้รอบหน้าถ้ามาทำธุระใกล้ๆนิด้าอีก จะกลับมาพักนะคะ, Hotel, pos
พนักงานต้อนรับบริการดีค่ะ ห้องสะอาด มีไดร์เป่าผม อาหารรสชาดพอใช้ มีทัวร์จีนลงห้องอาหารเลยดูสกปรกนิดหน่อย โดยรวมก็โอเคดี, Hotel, pos
ห้องดีมากคะ ทุกอย่างดีหมดไม่อยากพูดเยอะเดี๋ยวคนจะมาละห้องจะเต็ม, Hotel, pos
ห้องพักดีมากสะอาดเตียงนอนสบายพนักงานต้อนรักบริการดีมากชอบมากค่ะ, Hotel, pos
ดี ค่าา สะอาด ดูใหม่ คุ้มราคามาก เเต่ว่าห้องที่เราอยู่ขยับนิดนึงเตียงก็ดังเเล้วอะ, Hotel, pos
ที่พักสะอาดบรรยากาศดีมากไปพัก4คืนแม่บ้านทำความสะอาดดีมากพนักงานต้อนรับบริการดีสุดๆค่ะไว้จะไปพักใหม่อีกแน่นอนสะดวกราคาเบาๆชอบบมากปลื้มค่ะ, Hotel, pos
ห้องพักสะอาด กว้าง แต่ระเบียงติดกับตึกอื่นมากไปหน่อย, Hotel, pos
ห้องพักสะอาดมาก น่าอยู่ สมราคา ใกล้ของกิน เป็นส่วนตัว, Hotel, pos
โรงแรมใหม่ สะอาด ราคาย่อมเยาว์ แต่อยู่ท้ายซอยลึกไปหน่อย เข้ากรุงเทพมาพักโรงแรมนี้ตลอด, Hotel, pos
โรงแรมสะอาด บริการดี ราคาไม่แพง, Hotel, pos
ราคาไม่แพง ห้องนอนสบาย ที่จอดรถเยอะ ห้องน้ำมีกลิ่นนิดหน่อยพอรับได้ มีกาน้ำร้อนกับไดร์เป่าผมด้วย ผ้าห่มก็หนานุ่มสบาย, Hotel, pos
ห้องพักใหม่ สะอาด สงบ ห้องกว้าขวาง เสียแต่ขนาดโรงแรมคับแคบไปหน่อย, Hotel, pos
ราคาไม่แพง ห้องนอนสบาย ที่จอดรถเยอะ ห้องน้ำมีกลิ่นนิดหน่อยพอรับได้ มีกาน้ำร้อนกับไดร์เป่าผมด้วย , Hotel, pos
ห้องพักใหม่ สะอาด สงบ ห้องกว้าขวาง เสียแต่ขนาดโรงแรมคับแคบไปหน่อย, Hotel, pos
