-DOCSTART- -X- O
เฟรนลี่เป็นกันเองมากๆ -X- _ I-Service_Pos
ขอบคุณที่ให้บริการลูกค้าเป็นอย่างดี -X- _ I-Service_Pos
เป็นอีกที่ๆนึงที่ทุกคนต้องมา -X- _ O

ประทับใจในการบริการ -X- _ B-Impressed_Pos
ที่สมกับเป็นโรงแรม -X- _ I-Impressed_Pos
5 -X- _ I-Impressed_Pos
ดาว -X- _ I-Impressed_Pos
พนง.ยิ้มแย้มทักทายทุกครั้งที่เจอหน้า -X- _ B-Service_Pos
พนง.ทำความสะอาดพับผ้าที่กองไว้ยุ่งเหยิงให้ด้วยเป็นอะไรที่เหนือความคาดหมาย -X- _ I-Service_Pos
มีโอกาสกลับไปอีกแน่นอน -X- _ O

ที่พักสะอาดปลอดภัย -X- _ O
ห้องเก็บเสียงได้เงียบดี -X- _ B-Room_Pos
อุปกรณ์อำนวยความสะดวกครบครัน -X- _ B-Facilities_Pos
ห้องกว้างขวาง -X- _ B-Room_Pos
พนักงานบริการดีมาก -X- _ B-Service_Pos
อาหารเช้าของที่นี่ถือว่าคุ้มกับเงินที่จ่ายเพิ่มมานิดหน่อย -X- _ B-Value_Pos

สถานที่ตั้งโอเค -X- _ B-Location_Pos
เหมาะในการพักผ่อน -X- _ I-Location_Pos
เงียบสงบ -X- _ I-Location_Pos
และเดินทางเข้าเมืองได้สะดวก -X- _ I-Location_Pos
ห้องสะอาดดีมาก -X- _ B-Clean_Pos
การบริการของพนักงานดีงามทุกท่านเลย -X- _ B-Service_Pos
สุดยอดครับ -X- _ O
ถ้าได้ไปเขียงใหม่อีก -X- _ O
ก็จะพักที่นี่โดยไม่ลังเล -X- _ O
เลยครับ -X- _ O

ห้องพักไม่สะอาดเลย -X- _ B-Clean_Neg
ฝุ่นใต้เตียงและเฟอร์นิเจอร์เยอะ -X- _ I-Clean_Neg
ห้องพักไม่มีอุปกรณ์พื้นฐานมาให้ -X- _ B-Facilities_Neg
เช่น -X- _ I-Facilities_Neg
ตู้เย็น -X- _ I-Facilities_Neg
และเตารีด -X- _ I-Facilities_Neg
ให้หมอนเพียง -X- _ I-Facilities_Neg
2 -X- _ I-Facilities_Neg
ใบเท่านั้น -X- _ I-Facilities_Neg
ซึ่งฉันตกใจเพราะโรงแรมส่วนใหญ่มีให้ -X- _ I-Facilities_Neg
4 -X- _ I-Facilities_Neg
ใบ -X- _ I-Facilities_Neg
เครื่องทำความร้อนในห้องน้ำทำงานได้ไม่ดี -X- _ I-Facilities_Neg

การบริการลูกค้าที่แย่ที่สุดในบรรดาโรงแรม -X- _ B-Service_Neg
ฉันจองไว้ -X- _ O
2 -X- _ O
ห้องเพื่อฉลองวันเกิดกับครอบครัวเมื่อวานนี้ -X- _ O
ฉันยังมีห้องเอ็กเซ็กคูทีฟสวีทและห้องสแตนดาร์ดด้วย -X- _ O
เมื่อใช้สระว่ายน้ำ -X- _ O
พวกเขาแจ้งให้เราทราบว่าเราอนุญาตให้คนสองคนใช้สระว่ายน้ำและเด็กหนึ่งคนเท่านั้น -X- _ O
เนื่องจากห้องมาตรฐานไม่สามารถเข้าถึงสระว่ายน้ำได้ -X- _ O
น่าผิดหวังมากที่เราถูกจำกัดการใช้สระว่ายน้ำแม้ว่าเราจะเป็นแขกในโรงแรมก็ตาม -X- _ O

ไม่มีโถชำระล้าง -X- _ B-Facilities_Neg
ไม่มีรองเท้าแตะ -X- _ I-Facilities_Neg
ไม่มีอุปกรณ์อาบน้ำกาแฟเสริม -X- _ I-Facilities_Neg
ไม่มีเสื้อคลุมอาบน้ำ -X- _ I-Facilities_Neg
ไม่มีน้ำบริการ -X- _ I-Facilities_Neg

พนักงานบริการแย่มากไม่มีที่จอดรถให้ฉันจึงไม่เข้าพักและจะร้องเรียนให้ถึงที่สุดโดยเฉพาะพนักงานยกกระเป๋ามีที่จอดแต่ไม่บอกแขกที่พักยืนเฉยเฉยส่วนพนักงานที่เคาน์เตอร์ก็ไม่มีใจบริการไม่ช่วยแก้ปัญหายืนเฉยเฉยฉันไม่มีทางที่จะจ่ายเงินให้กับโรงแรมอย่างคุณแน่นอนและจะร้องเรียนกับ -X- _ B-Service_Neg
สคบ -X- _ I-Service_Neg
ให้ถึงที่สุด -X- _ I-Service_Neg

ห้องพักมีฝุ่นเยอะมาก -X- _ B-Room_Neg

ห่วยแตกมาก -X- _ B-Impressed_Neg
พนักงานพูดจาไร้มารยาท -X- _ B-Service_Neg
โรงแรมนี้ควร -X- _ O
อบรมพนักงานใหม่นะคะ -X- _ O

ห้องพักราคาไม่แพง -X- _ B-Price_Pos
สะอาด -X- _ B-Clean_Pos
สะดวกสบาย -X- _ B-Facilities_Pos
มีสิ่งอำนวยความสะดวกครบครัน -X- _ B-Facilities_Pos
มีฟิตเนสและสระว่ายน้ำ -X- _ I-Facilities_Pos
พนักงานบริการดี -X- _ B-Service_Pos
พูดจาไพเราะ -X- _ I-Service_Pos
ครั้งหน้าถ้ามาเชียงใหม่จะแวะมาพักที่นี่อีกแน่นอนค่ะ -X- _ O

ทำเลที่ตั้งดี -X- _ B-Location_Pos
ไปมาสะดวก -X- _ I-Location_Pos
แ -X- _ O
พาครอบครัวมาเที่ยวสงกรานต์เชียงใหม่ -X- _ O
2566 -X- _ O
สิ่งอำนวยความสะดวกต่างๆถือว่าใช้ได้ -X- _ B-Facilities_Neu
พนักงานให้บริการดีมาก -X- _ B-Service_Pos

เครื่องนอนนุ่มสบายดีมาก -X- _ B-Facilities_Pos
อาหารเช้าดี -X- _ B-Food_Pos
พนักงานบริการดี -X- _ B-Service_Pos
ขอบคุณมากค่ะ -X- _ I-Service_Pos

ปรับปรุงแค่อาหารเช้ามีควรมีหมูด้วยทำเมนูสร้างสรรค์ไม่ใช่ผัดง่ายๆมา -X- _ B-Food_Neg

เดินทางสะดวก -X- _ B-Location_Pos
รร.เปิดมานานแล้วแต่สะอาด -X- _ B-Clean_Pos
อุปกรณ์ครบครับ -X- _ B-Facilities_Pos
แอร์เย็นมาก -X- _ I-Facilities_Pos
ราคาถูก -X- _ B-Price_Pos

สะอาด -X- _ B-Clean_Pos
สะดวกสบาย -X- _ B-Convenience_Pos
คุ้มค่ากับราคาครับ -X- _ B-Value_Pos

ห้องนอนดี -X- _ B-Room_Pos
สะอาด -X- _ B-Clean_Pos
อยู่ใจกลางเมือง -X- _ B-Location_Pos
เดินทางสะดวก -X- _ I-Location_Pos
พนักงานบริการดี -X- _ B-Service_Pos
คุ้มค่ามาก -X- _ B-Value_Pos

เป็นครั้งที่สามที่มาพักที่นี่ -X- _ O
ที่ชอบสุดคือสไตล์ไทยๆ -X- _ O
ติดถนนไปไหนมาไหนสะดวกสบาย -X- _ B-Location_Pos

ไม่โอเค -X- _ B-Impressed_Neg
รร -X- _ I-Impressed_Neg
เก่ามาก -X- _ I-Impressed_Neg
น่ากลัว -X- _ I-Impressed_Neg

ใครคิดจะมาเที่ยวเชียงใหม่ -X- _ B-Recommend_Neg
อย่ามาพักโรงแรมนี้นะครับ -X- _ I-Recommend_Neg
มันเอาน้ำขุ่นๆให้อาบ -X- _ I-Recommend_Neg

ห้องน้ำไม่สะอาด -X- _ B-Clean_Neg
โรงแรมเก่า -X- _ I-Clean_Neg

พนักงานให้บริการไม่ให้ข้อมูลอะไรเลย -X- _ B-Service_Neg
ลูกค้าต้องถามเอง -X- _ I-Service_Neg
อาหารเช้าจะดูแลเป็นอย่างดี -X- _ B-Food_Neg
เฉพาะกลุ่มที่รู้จัก -X- _ I-Food_Neg
รสชาต -X- _ I-Food_Neg
อาหารแย่ลงมาก -X- _ I-Food_Neg
ๆๆๆ -X- _ I-Food_Neg
และน้อยมาก -X- _ I-Food_Neg

เตียงและเฟอร์นิเจอรเก่ามาก -X- _ B-Facilities_Neg

ห้องพักดี -X- _ B-Room_Pos
สะอาด -X- _ B-Clean_Pos
ที่นอน -X- _ B-Facilities_Pos
หมอน -X- _ I-Facilities_Pos
อุปกรณ์เครื่องใช้ -X- _ I-Facilities_Pos
ดีทุกอย่าง -X- _ I-Facilities_Pos
พนักงานบริการดี -X- _ B-Service_Pos

เป็นโรงแรมที่สะอาด -X- _ B-Clean_Pos
บริการดี -X- _ B-Service_Pos
ทำเลยดี -X- _ B-Location_Pos
มีห้องพักหลายประเภทให้เลือก -X- _ B-Room_Neu
ทั้งมาแบบเดี่ยว -X- _ I-Room_Neu
คู่ -X- _ I-Room_Neu
คณะที่ต้องการพัก -X- _ I-Room_Neu
1-5 -X- _ I-Room_Neu
คนรวมกัน -X- _ I-Room_Neu
อาหารเช้าคุณภาพดี -X- _ B-Food_Pos

อบอุ่น -X- _ B-Convenience_Pos
นอนสบาย -X- _ I-Convenience_Pos
ชอบความให้กรอกน้ำจากตู้ข้างนอกใส่ขวดส่วนตัว -X- _ I-Convenience_Pos
มีแก้วน่ารักๆต่างหาก -X- _ I-Convenience_Pos
พนงน่ารักใจดี -X- _ B-Service_Pos
ฝากกระเป๋าก่อนหลังเช็คอินเช็คเอ้าก้ได้ -X- _ I-Service_Pos

เตียงนุ่ม -X- _ O
ห้องน้ำกว้างขวาง -X- _ O
อาหารเช้าอร่อย -X- _ B-Food_Pos
พนักงานบริการดี -X- _ B-Service_Pos
แค่นี้ก็ไม่ไปไหนล่ะค่ะ -X- _ I-Service_Pos
^^ -X- _ O

พนักงานบริการดี -X- _ B-Service_Pos
ใจดี -X- _ I-Service_Pos
ห้องสะอาด -X- _ B-Clean_Pos
เตียงนุ่ม -X- _ B-Impressed_Pos
ประทับใจมาก -X- _ I-Impressed_Pos

สิ่งอำนวยความสะดวกเช่นหมวกอาบน้ำ -X- _ B-Facilities_Neg
รองเท้าแตะในห้อง -X- _ I-Facilities_Neg
ไม้แคะหู -X- _ I-Facilities_Neg
ต้องร้องขอที่รีเซพชัน -X- _ I-Facilities_Neg
ทางโรงแรมไม่เตรียมไว้ให้ในห้อง -X- _ I-Facilities_Neg
ผ้าเช็ดตัวเก่ามาก -X- _ I-Facilities_Neg
ห้องที่พักทัศนียภาพแย่มากๆ -X- _ I-Facilities_Neg
ที่จอดรถไม่เพียงพอกับขนาดโรงแรมไม่แนะนำเข้าพัก -X- _ B-Recommend_Neg

ผ้าห่มสกปรกมากไม่ควรใช้บริการลูกค้าควรทิ้งได้แล้ว -X- _ B-Clean_Neg
ทั้งขาด -X- _ I-Clean_Neg
ดินสีดำ -X- _ I-Clean_Neg
คราบเลือด -X- _ I-Clean_Neg
คราบเหลือง -X- _ I-Clean_Neg
และผ้าเช็ดตัวเก่ามากขาดเป็นลุ่ยๆแล้ว -X- _ I-Clean_Neg
ไม่แน่ใจว่าแม่บ้านได้เช็คห้องก่อนส่งหรือไม่ -X- _ I-Clean_Neg

ที่พักน่ารักมากค่ะ -X- _ B-Good_View
วิวดี -X- _ I-Good_View
บรรยากาศดี -X- _ I-Good_View
มีอ่างหน้าห้อง -X- _ O
ฟินมากก -X- _ O
บริการก็ดี -X- _ B-Service_Pos
มีโอกาสจะกลับไปอีกแน่นอนค่ะ -X- _ O

อากาศดีมาก -X- _ B-Good_View
อาหารอร่อย -X- _ B-Food_Pos
เป็นกันเองมาก -X- _ B-Recommend_Pos
เหมาะกับมาผักผ่อนมากๆ -X- _ I-Recommend_Pos
แนะนำที่นี่ค่ะ -X- _ I-Recommend_Pos
วิวดีมาก -X- _ B-Good_View

ห้องพักสะอาด -X- _ B-Clean_Pos
สะดวก -X- _ B-Facilities_Pos
มีของใช้ให้ครบเลยค่ะ -X- _ I-Facilities_Pos
เป็นส่วนตัว -X- _ B-Recommend_Pos
แนะนำเลยค่ะ -X- _ I-Recommend_Pos
4 -X- _ I-Recommend_Pos
คนกำลังดีมาก -X- _ I-Recommend_Pos
ๆ -X- _ I-Recommend_Pos

บริการแย่ -X- _ B-Service_Neg
จนไม่เข้าพัก -X- _ I-Service_Neg
ถือกระเป๋าออกไปพักที่อื่น -X- _ I-Service_Neg

เปลี่ยนวันก็ไม่ได้ -X- _ O
ห้องแย่ -X- _ B-Room_Neg
หมอนไม่ได้เปลี่ยน -X- _ I-Room_Neg
กลิ่นอับมาก -X- _ I-Room_Neg
ห้องเล็กสุดๆ -X- _ I-Room_Neg
มีรอยแดงๆด้วย -X- _ I-Room_Neg
ไม่รู้รอยอะไร -X- _ I-Room_Neg

ห้องพักไม่สะอาด -X- _ B-Clean_Neg
มีหน้ากากเก่าใช้แล้วทิ้งไว้ในตู้เสื้อผ้า -X- _ I-Clean_Neg
พื้นห้องเหมือนไม่ได้กวาดหรือดูดฝุ่น -X- _ I-Clean_Neg
ที่สำคัญที่นอนแข็งมาก -X- _ O
เสียงดนตรีดังจากสถานบันเทิง -X- _ O
แทบจะไม่ได้นอน -X- _ O

เป็นโรงแรมที่ดีมากวิวสวยบริการดีไม่รู้จะหักคะแนนตรงไหนเลย -X- _ B-Good_View

ไม่แนะนำสำหรับผู้เข้าพักที่มีเด็กเข้าพักค่ะบริเวณรอบนอกเสียงดังจากบาร์และพับ -X- _ B-Recommend_Neg
ห้องไม่เก็บเสียง -X- _ B-Room_Neg
พนักงานติดลบค่ะ -X- _ B-Service_Neg

เข้าพักครั้งแรก -X- _ O
ชอบมากครับ -X- _ O
แต่เสียดาย -X- _ O
สระว่ายน้ำปิดเร็วไปนิดนึง -X- _ B-Facilities_Neu
อยากเสพบรรยากาศยามค่ำคืนของขอนแก่นละเล่นน้ำไปด้วย -X- _ I-Facilities_Neu
น่าจะปิดสระสัก -X- _ I-Facilities_Neu
3-4 -X- _ I-Facilities_Neu
ทุ่มจะโคตรดีเลยครับ -X- _ I-Facilities_Neu

ยุงเยอะ -X- _ O
นอนฟังเพลงจากผับทั้งคืน -X- _ B-Room_Neg
กว่าจะได้นอน -X- _ I-Room_Neg

ราคาแรงหน่อยถ้าเทียบกับแบรนด์ใหญ่ในขอนแก่น -X- _ B-Price_Pos
แต่ทุกอย่างคือปังไม่ไหว -X- _ I-Price_Pos
ทำเล -X- _ I-Price_Pos
อาหาร -X- _ I-Price_Pos
ห้องพัก -X- _ I-Price_Pos
พนักงาน -X- _ I-Price_Pos
5 -X- _ I-Price_Pos
ดาวสุดๆที่ไม่มีโรงแรมไหนในขอนแก่นเทียบได้ -X- _ I-Price_Pos
กลับขอนแก่นอีกยังไงก็จะนอนที่นี้ตลอดไป -X- _ O

ห้องพัก -X- _ B-Clean_Neg
ไม่สะอาด -X- _ I-Clean_Neg
เอามากๆ -X- _ I-Clean_Neg
ทั้งบริเวรณล๊อบบี้ -X- _ I-Clean_Neg
ทางเดิน -X- _ I-Clean_Neg
ลิฟต์ -X- _ I-Clean_Neg
ไม่เหมาะกับการที่จะพาเด็กมาพัก -X- _ I-Clean_Neg

ห้องพักสะอาด -X- _ B-Clean_Pos
พนักงานน่ารัก -X- _ B-Service_Pos
มีใจบริการ -X- _ I-Service_Pos
พร้อมช่วยเหลือลูกค้า -X- _ I-Service_Pos
ใส่ใจดูและดีมาก -X- _ I-Service_Pos
คุณลุง -X- _ I-Service_Pos
รปภ -X- _ I-Service_Pos
ช่วงกลางวัน -X- _ I-Service_Pos
บริการใส่ใจดีมาก -X- _ I-Service_Pos
ค่อยช่วยเปิดประตู -X- _ I-Service_Pos
ยกกระเป๋า -X- _ I-Service_Pos
ระวังรถให้ตลอดเวลา -X- _ I-Service_Pos
ไม่ว่าจะเข้าออกกี่ครั้งก็ใส่ใจดูแลดีทุกครั้ง -X- _ I-Service_Pos

ที่พักอยู่ติดที่เที่ยว -X- _ B-Location_Neg
เสียงดังทั้งคืน -X- _ I-Location_Neg
หลังตีสองถึงจะนอนได้ -X- _ I-Location_Neg
สำหรับคนอยากพักผ่อนควรหาที่พักบริเวณอื่น -X- _ I-Location_Neg

ดีคะสวยสะอาดเสียอย่างเดียวไม่มีที่ -X- _ B-Clean_Pos
แขวนเสื้อผ้ามีแต่ -X- _ B-Facilities_Neu
ก็ไม่ใช่เป็นตู้ -X- _ I-Facilities_Neu
เป็นที่แขวนเหมือนผ้าเช็ดตัว -X- _ I-Facilities_Neu
แต่ทุกอย่างก็สวยงาม -X- _ B-Good_View
วิวสวย -X- _ I-Good_View
สระว่ายน้ำสวย -X- _ I-Good_View

ราคาถูก -X- _ B-Price_Pos
ไม่แรง -X- _ I-Price_Pos
แต่ไม่สะอาด -X- _ B-Clean_Neg
เช่น -X- _ I-Clean_Neg
โซฟาต้อนรับ -X- _ I-Clean_Neg
มีแต่ฝุ่น -X- _ I-Clean_Neg
และมีคราบ -X- _ I-Clean_Neg
ในลิฟท์ก็มีแต่คราบสกปรก -X- _ I-Clean_Neg
พื้นกระเบื้องถูแล้วแต่กลิ่นคาวหึ่งเลย -X- _ I-Clean_Neg
อาจจะเป็นแค่วันที่ผมไปละมั้งคับ -X- _ I-Clean_Neg

โลเคชั่นดีมากใจกลางเมืองเลย -X- _ B-Location_Pos
รร.+ห้องพักค่อนข้างเก่า -X- _ B-Clean_Pos
แต่สะอาด -X- _ I-Clean_Pos
เตียงนุ่มนอนสบาย -X- _ B-Convenience_Pos
ห้องเพื่อนตรงโซฟามีเก้าอี้รองขาแต่ของเราไม่มีค่ะ -X- _ O
อาหารเช้าอร่อยและค่อนข้างหลากหลาย -X- _ B-Food_Pos
บรรยากาศ -X- _ B-Good_View
รร -X- _ I-Good_View
เงียบสงบดีค่ะ -X- _ I-Good_View
พนักงานยกกระเป๋าน่ารักค่ะ -X- _ B-Service_Pos

พนักงานแย่ -X- _ B-Service_Neg

ที่นอนเก่ามาก -X- _ B-Facilities_Neg
เตียงยุบ -X- _ I-Facilities_Neg
ไม่สะดวกมากในเรื่องที่จอดรถ -X- _ I-Facilities_Neg
ถ้าราคาประมานนี้ครวหาที่พักที่อื่น -X- _ B-Value_Neg
ห้องไม่ค่อยสะอาด -X- _ B-Clean_Neg
อาหารเช้าธรรมดา -X- _ B-Food_Neu

ห้องพักราคาค่อนข้างแพงถ้าเทียบกับข้างเคียงแต่การให้บริการกลับมีให้พร้อมมากกว่าแต่ราคาถูกกว่า -X- _ B-Price_Neg
เหมือนฉวยโอกาสขึ้นราคาช่วงวันหยุด -X- _ O
เอาเปรียบคนไทยด้วยกันเองทุกๆอย่าง -X- _ O

สิ่งอำนวยความสะดวกภายในห้องมีให้ไม่เพียงพอกับห้องที่เข้าพัก -X- _ B-Facilities_Neg
และอาหารเช้าไม่มีให้กับราคาห้องที่ค่อนข้างแพง -X- _ B-Value_Neg
ถ้าเทียบกับโรงแรมข้างเคียงกัน -X- _ I-Value_Neg

เปิดให้ -X- _ B-Room_Neg
ห้องเดียว -X- _ I-Room_Neg
เตียง -X- _ I-Room_Neg
5 -X- _ I-Room_Neg
ฟุต -X- _ I-Room_Neg
***แต่ -X- _ I-Room_Neg
ที่บ้านก็ -X- _ I-Room_Neg
5 -X- _ I-Room_Neg
ฟุต -X- _ I-Room_Neg
ทำไมมันใหญ่ -X- _ I-Room_Neg
กว่านี้ -X- _ I-Room_Neg
อีกห้องเตียง -X- _ I-Room_Neg
6 -X- _ I-Room_Neg
ฟุต -X- _ I-Room_Neg
ล็อต -X- _ I-Room_Neg
จะเปิดให้ต้องจ่ายเพิ่ม -X- _ I-Room_Neg
500 -X- _ I-Room_Neg
บาท -X- _ I-Room_Neg
คือจอง -X- _ I-Room_Neg
ก็เห็นเขียนว่า -X- _ I-Room_Neg
เตียง -X- _ I-Room_Neg
คิงไซด์ -X- _ I-Room_Neg
นะ -X- _ I-Room_Neg
ห่าเอ้ย -X- _ I-Room_Neg
ลูกกูก็เล็ก -X- _ I-Room_Neg
เตียงก็แคบ -X- _ I-Room_Neg
นอนโซฟา -X- _ I-Room_Neg
ไปสิครับ -X- _ I-Room_Neg

พนักงานเช็คอิน -X- _ B-Service_Neg
บริการแย่ -X- _ I-Service_Neg

ไม่ประทับใจห้องแคบมากๆจะไม่กลับไปใช้บริการที่นี่อีกต่อไป -X- _ B-Impressed_Neg
ไม่มีอะไรเลย -X- _ I-Impressed_Neg

พนักงาน -X- _ B-Service_Neg
บริการแย่ -X- _ I-Service_Neg
อาหารเช้าห่วย -X- _ B-Food_Neg

อันดับแรกคือพนักงานทุกคนต้อนรับดีมาก -X- _ B-Service_Pos
ห้องพักดี -X- _ B-Room_Pos
อาหารเช้าเยอะ -X- _ B-Food_Pos
ที่จอดรถสะดวก -X- _ B-Facilities_Pos
ดีมากๆ -X- _ I-Facilities_Pos
คุ้มค่ากับราคา -X- _ B-Value_Pos

เงียบสงบ -X- _ B-Location_Pos
ติดถนนหาง่ายและใกล้เดินทางาะดวกสบาย -X- _ I-Location_Pos

ห้องพักดี -X- _ B-Room_Pos
พนักงานให้ข้อมูลดีมาก -X- _ B-Service_Pos
อาหารเช้าพอใช้ได้ -X- _ B-Food_Neu
เหมาะสมกับราคา -X- _ B-Value_Pos
คุ้มค่ามาก -X- _ I-Value_Pos

พนักงานบริการดี -X- _ B-Service_Pos
การแนะนำ -X- _ I-Service_Pos
การอำนวยความสะดวกต่าง -X- _ I-Service_Pos
ๆ -X- _ I-Service_Pos

คุ้มค่าคุ้มราคาครับ -X- _ B-Value_Pos

สะอาด -X- _ B-Clean_Pos
สะดวกสบาย -X- _ B-Convenience_Pos
เป็นมิตรกับเด็กและสัตว์เลี้ยง -X- _ I-Convenience_Pos

ทำเลดี -X- _ B-Location_Pos
เดินทางสะดวก -X- _ I-Location_Pos

โรงแรมสวย -X- _ O
บริการดี -X- _ B-Service_Pos
อาหารอร่อย -X- _ B-Food_Pos

พนักงานบริการดีมาก -X- _ B-Service_Pos
ที่พักสะดวกสบาย -X- _ B-Convenience_Pos
ราคาประหยัด -X- _ B-Price_Pos
สามารถนำสุนัขเข้าพักได้ด้วย -X- _ I-Price_Pos

พนักงานบริการดี -X- _ B-Service_Pos
ห้องพักสะอาดมากค่ะคุ้มราคา -X- _ B-Value_Pos

บริการดีคะ -X- _ B-Service_Pos
ห้องพักสะอาดเรียบร้อย -X- _ B-Clean_Pos
สิ่งอำนวยความสะดวกดีคะ -X- _ B-Facilities_Pos
อาการเช้าดีคะ -X- _ B-Food_Pos

ที่พักราคาดีมาก -X- _ B-Price_Pos
คุ้มค่ากับที่จ่าย -X- _ B-Value_Pos
เดินทางสะดวก -X- _ B-Location_Pos
ใกล้ทะเล -X- _ I-Location_Pos
ใกล้แหล่งท่องเที่ยว -X- _ I-Location_Pos
ไปหัวหินเลือกที่นี้ -X- _ I-Location_Pos
แน่นอน -X- _ I-Location_Pos

อยู่ไม่ไกลจากชายหาด -X- _ B-Location_Pos
การเดินทางสะดวก -X- _ I-Location_Pos

ติดทะเล -X- _ B-Location_Pos
บริการดี -X- _ B-Service_Pos
สะดวกสบาย -X- _ B-Convenience_Pos
สะอาด -X- _ B-Clean_Pos
น้องหมาพักได้ -X- _ O
ราคาไม่แพง -X- _ B-Price_Pos
แอร์เย็น -X- _ O

ห้องพักสะอาด -X- _ B-Clean_Pos
ทำเลดี -X- _ B-Location_Pos

ที่พักสะอาด -X- _ B-Clean_Pos
สิ่งอำยวยความสะดวกครบ -X- _ B-Facilities_Pos
ไม่ไกลตัวเมือง -X- _ B-Location_Pos

ทำเลที่ตั้งดีห้องสะอาดพนักงาน -X- _ B-Location_Pos
ดูแลเอาใจใส่ -X- _ B-Service_Pos
ที่สำคัญทำเลที่ตั้ง -X- _ B-Location_Pos
อยู่ใกล้ตลาดซิเคด้าเดินไปได้เลย -X- _ I-Location_Pos
แนะนำครับ -X- _ B-Recommend_Pos

เน้นเที่ยวแบบคุ้มค่า -X- _ B-Recommend_Pos
แนะนำ -X- _ I-Recommend_Pos
เรามาเยี่ยมญาติประจวบฯ -X- _ I-Recommend_Pos
ก็เลยจองที่นี่ -X- _ I-Recommend_Pos
อาหารเช้าอร่อยดี -X- _ B-Food_Pos
มีโซนสำหรับผู้เข้าพักที่นำสัตว์เลี้ยงมา -X- _ I-Food_Pos
นำสัตว์เลี้ยงเข้าพักได้ -X- _ I-Food_Pos
( -X- _ O
ลองสอบถามที่พักก่อน -X- _ O
) -X- _ O

ห้องพักดีมากค่ะ -X- _ B-Room_Pos
พนักงานพูดจาน่ารัก -X- _ B-Service_Pos
ห้องพักสะอาดใช้ทุกส่วนของห้องได้คุ้มค่ามาก -X- _ B-Clean_Pos
ในห้องน้ำมีไดร์เป่าผม -X- _ B-Facilities_Pos
อาหารในโรงแรมก็มีให้สั่งได้ตลอด -X- _ B-Food_Pos
อาหารเช้าก็บุฟเฟต์มีหลากหลาย -X- _ B-Various_Pos
ชอบมากๆค่ะ -X- _ I-Various_Pos
ข้างโรงแรมก็สามารถเดินไปริมหาดได้ -X- _ B-Location_Pos
ใกล้กลับตลาดตอนกลางคืนอีกด้วย -X- _ I-Location_Pos
ไว้มีโอกาสจะกลับไปใหม่ค่ะ -X- _ B-Impressed_Pos

สรุปโดยรวมไม่คุ้มค่า -X- _ B-Value_Neg
เทียบกับราคา -X- _ I-Value_Neg

ความสะอาดของห้องพักไม่ดี -X- _ B-Clean_Neg
ห้องค่อนข้างสกปรก -X- _ I-Clean_Neg
มีฝุ่น -X- _ I-Clean_Neg
ผ้าเช็ดตัวไม่พอ -X- _ B-Facilities_Neg
พนักงงานบริการช้ามาก -X- _ B-Service_Neg
มีน้อย -X- _ I-Service_Neg
ต้องปรับปรุง -X- _ I-Service_Neg

ห้องพักเก่าและเหม็นอับไม่ได้ -X- _ B-Room_Neg
